00:00; Четыре нуля как проводник воли Всевышнего. Ничто не скроется от творца, он продолжит оберегать и сопровождать в течение жизни. Увидевшему данную комбинацию следует помочь тому, кто в этом нуждается.
00:11;Скоро что-то вдохновит вас на новые свершения.
00:22;Наберитесь терпения, чтобы добиться достижений в начинаниях.
00:33;Вы сами творец своего счастья и своей реальности.
00:44;Ваш труд скоро принесет материальные дивиденды.
00:55;Знания – сила, начните получать новый навык или изучать что-то новое.
11:00;Пора сосредоточится на себе, хватит решать чужие проблемы.
11:22;Только от ваших действий зависят ваши достижения.
11:33;Пришло время найти любимое хобби или дело. Ангелы благосклонны к вам.
11:44;Ваше материальное положение зависит, только от лично ваших затраченных усилий.
11:55;Направьте свою энергию на получение новых знаний, новые навыки принесут прибыль.
22:00;Для достижения цели нужно начать делать и приложить усилие.
22:11;Определите цель, а затем следуйте плану для достижения цели.
22:33;Ваша внутренняя сила поможет воплотить мысли в жизнь.
22:44;Терпение и труд все перетрут, если что-то не получилось сделать с первого раза, продолжайте и не останавливайтесь.
01:01;Ваш ангел хочет сохранить оптимистичный настрой. Также вам хотят показать, что мысли материальны, поэтому думайте только о хорошем.
01:10;Находите плюсы в той ситуации, в которой находитесь. Ваши мысли сейчас материальны как никогда. Больше делитесь с другими положительными эмоциями.
01:11;Комбинация, обозначающая грандиозный успех и невероятные изменения, а страхи материализуются очень быстро. Прекратите бояться, учитесь контролировать то, о чем думаете.
22:55;Остановитесь и подумайте, не все можно получить, действуя в лоб. Иногда, для разрешения ситуации, ее проще отпустить.
02:02;Ангел-хранитель оберегает, если в него верить. Не стоит терять надежду. Вы управляете собственной жизнью.
02:20;Завершите запущенные проекты, мысли, идеи. Верьте в лучшее, в будущем все наладится.
02:22;Не терять веру в себя, продолжайте работать в выбранном направлении и небесные силы поспособствуют поддержкой идущих к своей мечте. Все что с вами сейчас происходит, должно произойти. Это залог духовного роста.
03:30;У вас есть поддержка высших сил. Пользуйтесь своими возможностями ради блага всего человечества. Верьте в свои силы.
03:03;У вас есть могущественный невидимый покровитель. Вера в бога и в себя поможет справиться с трудностями.
04:40;Не позволяйте плохим мыслям взять вверх. Чаще планируйте и мечтайте. Ваши искренние молитвы и желания будут услышаны.
03:33; Комбинация обозначающая, что жизнь оказалась под влиянием высших сил. Сейчас ангелы как никогда заботятся о вас.
05:50;Даже самые болезненные перемены вашей жизни к лучшему, они приведут к оздоровлению души.
04:04;Вселенная вас слышит, желание загаданное в это время, обязательно исполнится если приложить усилия.
10:01;О чем думаете, то и сбудется. Решайте, чего хотите на самом деле и не переживайте по пустякам, это вас отвлекает.
04:44; Ангел-хранитель напоминает о своем присутствии, подобное совпадение часто видят те, кто потерял себя. Станьте смелее. Страх только у вас в голове.
01:23;Пришло время избавиться от ненужных вещей и мыслей. Прекратите думать о прошлом, его не изменить. Творите будущее сегодняшним днем.
05:05;Не бойтесь перемен. Даже если они покажутся сложными и непереносимыми на первый взгляд, в конечном счете все к лучшему. Вы со всем справитесь.
12:21;Культивируйте радость жизни. Учитесь радоваться мелочам, чтобы почувствовать полноту жизни и проявляйте заботу к окружающим людям.
05:55; Необходимо проявить терпение, решение дел потребует выдержки, но все закончится благополучно. Не бойтесь кардинальных изменений, в застойной воде рыба не живет.
06:06;Не стоит беспокоиться, особенно о материальном. Тревожные мысли мешают полноценно жить. Все тревоги бессмысленны.
07:07;Вас ведет Вселенная. Вам будет оказана всесторонняя поддержка, так как вы двигаетесь в правильном направлении. Принятое решение в ближайшем будущем принесет положительные результаты.
08:08;Вам посылают неисчерпаемую энергию и даны все ресурсы для достижения желаемого, осталось только делать.
09:09; Усилия, приложенные в ближайшее время, окупятся в десятикратном размере.
02:34;Не ищите поддержки снаружи, все что вам нужно уже есть внутри вас.
13:31;Учитесь видеть хорошее. Если фокусируетесь на неудачах, то не сможете увидеть истинное свое предназначение.
10:10;Негативные ситуации приведут к улучшению взаимоотношений или повышению по службе. Следите за своими мыслями! О чем думаете, то и сбудется. Настроитесь на позитивный лад.
03:45;Не бойтесь перемен, ищите в переменах возможности.
04:56;Если вы хотите что-то изменить, то время пришло. Все перемены пойдут на пользу.
11:11;Вы находитесь в потоке и нужно действовать на благо людям, желать только добра. Отказаться от негативных мыслей. Если ваши желания не токсичны, то их исполнение не заставит себя долго ждать.
12:34;Только мы определяем наше отношение к проблеме. Мыслите позитивно, тогда все станет проще.
23:45;Все временно в вашем мире. Старайтесь находить радость в каждом моменте.
00:01;Обязательно культивируйте оптимизм. От вашего взгляда на жизнь зависит все.
00:02;Вы абсолютно потеряли веру. Верьте и получите желаемое.
00:03;Скоро перед вами откроются новые возможности.
00:04;Ваши благие начинания будут поддержаны высшими силами.
00:05;Учитесь приспосабливаться к переменам, они необходимы для роста.
00:06;Вам нужно меньше беспокоиться о материальном. Вы можете терять другие аспекты жизни в погони за деньгами.
00:07;Наставники хотят сказать, что вы на верном пути. Прекратите сомневаться.
00:08;Вас ждет процветание, продолжайте работать и действовать.
00:09;Труд – залог благополучия. Прекратите просто мечтать, начните делать.
10:00;Чтобы происходило что-то хорошее, надо в это верить.
12:12;Необходимо найти в себе силы для преодоления грядущих испытаний. По вере вашей, дано будет вам. Во что искренне верите, то и произойдет. Но этот аспект вы можете контролировать сами.
14:41;Старайтесь решать задачи в течение первых 3 минут, если это возможно. Даже из самой худшей ситуации есть выход. Чуточку оптимизма, а ангелы окажут поддержку в дальнейшем.
11:10;Научитесь думать о хорошем. Подменяйте плохие мысли позитивными. Сплетни не приведут ни к чему хорошему.
11:12;Научитесь спокойствию. Медитация в этом поможет.
13:13;Ангел-хранитель поблизости. Он оберегает и защищает вас. Найдите радость жизни и откройтесь миру. Не обращайте внимания на мелкие неприятности и помните, вы под защитой высших сил.
15:51;Ищите чудо в каждом дне, тогда жизнь начнет меняться к лучшему.
11:13;Концентрация и упорство приведет к успеху.
14:14;Высшие силы рядом — Ангелы любят и охраняют вас. Уберегут от неприятностей и придадут силы. Откройтесь и настройтесь на лучшее.
20:02;Верьте в себя и свои силы. Вера в лучшее будет вознаграждена.
11:14;Необходимо наладить дисциплину и привести дела в порядок, для достижения результата.
